 ,Is there one from last year?,Complete 2024,On Page for Printing?,Dimensions,Frontage,Depth,Interactivity Time/Name Highlight Color,Neigborhood,Tea,Coffee,Sound,Food,Fire,Fire Circle,Kids,Bar,ADA,XXX,UnEvEn GROUND,Trees,RVs,Sound Zone,Sound Zone Data,Make SZ work?,Make SZ work? Data,Forest Entry,Main Field,North Point Forest,Riverside,Mezzanine,Lower Bowl,Upper Bowl,The Meadow,Uneven Ground,Uneven Ground Data,Trees,Trees Data,ADA,ADA Data,Kids v Kids+,Kids,Kids Data,Kids +,Kids+ Reduct,Kids + Data,Bar,Bar Data,XXX,XXX Data,Fire,Fire Data,Fire Circle,Fire Circle Data,Dimensions,Dims 1st,Dims 2nd,Frontage,Depth,SqFt,SqFt,Sound Zone split,,,Food,Coffee,Tea,Sound Size,Thursday Hours,Friday Hours,Saturday Hours,Sunday Hours,Thur Morning,Thur Afternoon,Thur Late Aft,Thur Evening,Thur Late Nigt,Fri Morning,Fri Afternoon,Fri Late Aft,Fri Evening,Fri Late Night,Sat Morn,Sat Afternoon,Sat Late Aft,Sat Even,Sat Late Night,Sun Morn,Sun Aft,Sun Late Aft,Sun Even,Sun Late NIght,Morning,Afternoon,Late Afternoon,Evening,Late Night,Total Shifts,Camp Type,Morning,Afternoon,Late Afternoon,Evening,Late Night,% Morning,% Afternoon,% Late Afternoon,% Evening,% Late Night,Concat,Camp Highlight,Forest Entry,Main Field,North Point Forest,Riverside,Mezzanine,Lower Bowl,Upper Bowl,The Meadow,1st Choice,2nd Choice,3rd Choice,neighborhood
Spooky Island,,,,40'x70' (2800 sq. ft.),40,70,Late AfternoonEvening,UB NP MZ , , , ,,Fire, , ,Bar, , ,UnEvEn,Trees,0,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,,,2nd Choice,,3rd Choice,,1st Choice,,UnEvEn,Yes,Trees,Yes, ,No, , ,No, ,,,Bar,Yes, ,No,Fire,Yes, ,No,40'x70' (2800 sq. ft.),40',70' (2800 sq. ft.),40,70, (2800 sq. ft.),2800,Zone 2,2,SZ 2,,,,No,"Late Afternoon (4pm-8pm), Evening (8pm-Midnight)","Late Afternoon (4pm-8pm), Evening (8pm-Midnight)","Late Afternoon (4pm-8pm), Evening (8pm-Midnight)","Late Afternoon (4pm-8pm), Evening (8pm-Midnight)", , ,1,1, , , ,1,1, , , ,1,1, , , ,1,1, ,0,0,4,4,0,8,Theme Camp,,,Late Afternoon,Evening,,0.00%,0.00%,50.00%,50.00%,0.00%,Late AfternoonEvening,Late AfternoonEvening,,,2,,3,,1,,UB ,NP ,MZ ,UB NP MZ 
Mad Hatter's HIGH Tea,,,,40'x60' (2400 sq. ft.),40,60,Afternoon,MF UB ,Tea,Coffee, ,, , , , , , ,UnEvEn, ,2,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,,1st Choice,,,,,2nd Choice,,UnEvEn,Yes, ,No, ,No, , ,No, ,,, ,No, ,No, ,No, ,No,40'x60' (2400 sq. ft.),40',60' (2400 sq. ft.),40,60, (2400 sq. ft.),2400,Zone 2,2,SZ 2,,yes,yes,No,None,Afternoon (noon-4pm),Afternoon (noon-4pm),None, , , , , , ,1, , , , ,1, , , , , , , , ,0,2,0,0,0,2,Theme Camp,,Afternoon,,,,0.00%,100.00%,0.00%,0.00%,0.00%,Afternoon,Afternoon,,1,,,,,2,,MF ,UB ,,MF UB 
Snacks N Snuggles,,,,100'x50' (5000 sq. ft.),100,50,AfternoonLate Afternoon,UB MF NP , , , ,Food+,Fire, , , , ,XXX,UnEvEn,Trees,3,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,,2nd Choice,3rd Choice,,,,1st Choice,,UnEvEn,Yes,Trees,Yes, ,No, , ,No, ,,, ,No,XXX,Yes,Fire,Yes, ,No,100'x50' (5000 sq. ft.),100',50' (5000 sq. ft.),100,50, (5000 sq. ft.),5000,Zone 2,2,SZ 2,Food+,,,No,"Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm)", ,1,1,1, , ,1,1,1, , ,1,1, , , ,1,1, , ,0,4,4,2,0,10,Theme Camp,,Afternoon,Late Afternoon,,,0.00%,40.00%,40.00%,20.00%,0.00%,AfternoonLate Afternoon,AfternoonLate Afternoon,,2,3,,,,1,,UB ,MF ,NP ,UB MF NP 
Astro Shack Java Joint,,,,40'x60' (2400 sq. ft.),40,60,Morning,MF FE NP , ,Coffee, ,,Fire, ,Kids,Bar,ADA, ,UnEvEn,Trees,1,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,2nd Choice,1st Choice,3rd Choice,,,,,,UnEvEn,Yes,Trees,Yes,ADA,Yes,Kids,Kids,Yes, ,Not,Not needed,Bar,Yes, ,No,Fire,Yes, ,No,40'x60' (2400 sq. ft.),40',60' (2400 sq. ft.),40,60, (2400 sq. ft.),2400,Zone 2,2,SZ 2,,yes,,No,None,Morning (Sunrise-noon),Morning (Sunrise-noon),Morning (Sunrise-noon), , , , , ,1, , , , ,1, , , , ,1, , , , ,3,0,0,0,0,3,Theme Camp,Morning,,,,,100.00%,0.00%,0.00%,0.00%,0.00%,Morning,Morning,2,1,3,,,,,,MF ,FE ,NP ,MF FE NP 
Dr. Bev's Clinic,,,,40'x60' (2400 sq. ft.),40,60,AfternoonLate Afternoon,MF FE NP , , , ,, , ,Kids,Bar,ADA, ,UnEvEn,Trees,0,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,2nd Choice,1st Choice,3rd Choice,,,,,,UnEvEn,Yes,Trees,Yes,ADA,Yes,Kids,Kids,Yes, ,Not,Not needed,Bar,Yes, ,No, ,No, ,No,40'x60' (2400 sq. ft.),40',60' (2400 sq. ft.),40,60, (2400 sq. ft.),2400,Zone 2,2,SZ 2,,,,No,"Afternoon (noon-4pm), Late Afternoon (4pm-8pm)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm)", ,1,1, , , ,1,1, , , ,1,1, , , ,1,1, , ,0,4,4,0,0,8,Theme Camp,,Afternoon,Late Afternoon,,,0.00%,50.00%,50.00%,0.00%,0.00%,AfternoonLate Afternoon,AfternoonLate Afternoon,2,1,3,,,,,,MF ,FE ,NP ,MF FE NP 
Fire Safety Support Camp,,,,50'x60' (3000 sq. ft.),50,60,Work Support Camp,MF , , , ,, , , , , , , ,Trees,7,SZ 1,Zone 1 (Blue): No sound above conversational level midnight - 10am.,,We will make it work!,,1st Choice,,,,,,, ,No,Trees,Yes, ,No, , ,No, ,,, ,No, ,, ,No, ,,50'x60' (3000 sq. ft.),50',60' (3000 sq. ft.),50,60, (3000 sq. ft.),3000,Zone 1,1,SZ 1,,,,No,,,,, , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,Work Support Camp,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,Work Support Camp,,1,,,,,,,MF ,,,MF 
Baggage Check ,,,,100'x50' (5000 sq. ft.),100,50,,FE MF RS , ,Coffee, ,,Fire, ,Kids,Bar, , , ,Trees,1,SZ 1,Zone 1 (Blue): No sound above conversational level midnight - 10am.,,We will make it work!,1st Choice,2nd Choice,,3rd Choice,,,,, ,No,Trees,Yes, ,No,Kids,Kids,Yes, ,Not,Not needed,Bar,Yes, ,No,Fire,Yes, ,No,100'x50' (5000 sq. ft.),100',50' (5000 sq. ft.),100,50, (5000 sq. ft.),5000,Zone 1,1,SZ 1,,yes,,No,Evening (8pm-Midnight),"Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)",None, , , ,1, , ,1,1,1,1, ,1,1,1,1, , , , , ,0,2,2,3,2,9,Theme Camp,,,,,,0.00%,22.22%,22.22%,33.33%,22.22%,,,1,2,,3,,,,,FE ,MF ,RS ,FE MF RS 
Pickleodeon,,,,40'x60' (2400 sq. ft.),40,60,,MF FE RS , , , ,Food, , , ,Bar, , ,UnEvEn, ,0,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,2nd Choice,1st Choice,,3rd Choice,,,,,UnEvEn,Yes, ,No, ,No, , ,No, ,,,Bar,Yes, ,No, ,No, ,No,40'x60' (2400 sq. ft.),40',60' (2400 sq. ft.),40,60, (2400 sq. ft.),2400,Zone 2,2,SZ 2,Food,,,No,"Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight)","Morning (Sunrise-noon), Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight)","Morning (Sunrise-noon), Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight)","Morning (Sunrise-noon), Afternoon (noon-4pm)", ,1,1,1, ,1,1,1,1, ,1,1,1,1, ,1,1, , , ,3,4,3,3,0,13,Theme Camp,,,,,,23.08%,30.77%,23.08%,23.08%,0.00%,,,2,1,,3,,,,,MF ,FE ,RS ,MF FE RS 
Practical Pleasures,,,,40'x60' (2400 sq. ft.),40,60,AfternoonLate Afternoon,FE NP RS , , , ,, , , , , , , ,Trees,0,SZ 1,Zone 1 (Blue): No sound above conversational level midnight - 10am.,,We will make it work!,1st Choice,,2nd Choice,3rd Choice,,,,, ,No,Trees,Yes, ,No, , ,No, ,,, ,No, ,No, ,No, ,No,40'x60' (2400 sq. ft.),40',60' (2400 sq. ft.),40,60, (2400 sq. ft.),2400,Zone 1,1,SZ 1,,,,No,None,"Afternoon (noon-4pm), Late Afternoon (4pm-8pm)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm)", , , , , , ,1,1, , , ,1,1, , , ,1,1, , ,0,3,3,0,0,6,Theme Camp,,Afternoon,Late Afternoon,,,0.00%,50.00%,50.00%,0.00%,0.00%,AfternoonLate Afternoon,AfternoonLate Afternoon,1,,2,3,,,,,FE ,NP ,RS ,FE NP RS 
MBS Support Camp,,,,60'x60' (3600 sq. ft.),60,60,Work Support Camp,UB , , , ,, , , , , , ,UnEvEn,Trees,0,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,,,,,,,1st Choice,,UnEvEn,Yes,Trees,Yes, ,No, , ,No, ,,, ,No, ,, ,No, ,,60'x60' (3600 sq. ft.),60',60' (3600 sq. ft.),60,60, (3600 sq. ft.),3600,Zone 2,2,SZ 2,,,,No,,,,, , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,Work Support Camp,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,Work Support Camp,,,,,,,1,,UB ,,,UB 
Spam Camp,,,,40'x40' (1600 sq. ft.),40,40,,MF RS NP , , ,Small,Food+, , , ,Bar, , ,UnEvEn,Trees,0,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,,1st Choice,3rd Choice,2nd Choice,,,,,UnEvEn,Yes,Trees,Yes, ,No, , ,No, ,,,Bar,Yes, ,No, ,No, ,No,40'x40' (1600 sq. ft.),40',40' (1600 sq. ft.),40,40, (1600 sq. ft.),1600,Zone 2,2,SZ 2,Food+,,,Small,"Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Morning (Sunrise-noon), Afternoon (noon-4pm)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm)",Morning (Sunrise-noon), , , ,1,1,1,1, , , , ,1,1, , ,1, , , , ,2,2,1,1,1,7,Theme Camp,,,,,,28.57%,28.57%,14.29%,14.29%,14.29%,,,,1,3,2,,,,,MF ,RS ,NP ,MF RS NP 
Pampered Camper,,,,40'x100' (4000 sq. ft.),40,100,,FE MF MD,Tea, , ,, , , ,Bar, , ,UnEvEn,Trees,0,SZ 1,Zone 1 (Blue): No sound above conversational level midnight - 10am.,,We will make it work!,1st Choice,2nd Choice,2nd Choice,,,,,3rd Choice,UnEvEn,Yes,Trees,Yes, ,No, , ,No, ,,,Bar,Yes, ,No, ,No, ,No,40'x100' (4000 sq. ft.),40',100' (4000 sq. ft.),40,100, (4000 sq. ft.),4000,Zone 1,1,SZ 1,,,yes,No,"Late Afternoon (4pm-8pm), None","Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight)", , ,1, , , ,1,1,1,1, ,1,1,1,1, ,1,1,1, ,0,3,4,3,2,12,Theme Camp,,,,,,0.00%,25.00%,33.33%,25.00%,16.67%,,,1,2,2,,,,,3,FE ,MF ,MD,FE MF MD
Prismatica,,,,20'x60' (1200 sq. ft.),20,60,Art Support Camp,UB MF FE , , , ,, , , , , , ,UnEvEn,Trees,0,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,3rd Choice,2nd Choice,,,,,1st Choice,,UnEvEn,Yes,Trees,Yes, ,No, , ,No, ,,, ,No, ,, ,No, ,,20'x60' (1200 sq. ft.),20',60' (1200 sq. ft.),20,60, (1200 sq. ft.),1200,Zone 2,2,SZ 2,,,,No,,,,, , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,Art Support Camp,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,Art Support Camp,3,2,,,,,1,,UB ,MF ,FE ,UB MF FE 
MOIST,,,,100‘x110‘ (11000 sq. Ft.),100,110,,MZ NP LB , , ,Medium,,Fire, , , , ,XXX, ,Trees,2,SZ 3,Zone 3 (Red): Sub-bass must be turned off or significantly reduced at 3am; no sound above conversational level 6am - 10am.,,We will make it work!,,,2nd Choice,,1st Choice,3rd Choice,,, ,No,Trees,Yes, ,No, , ,No, ,,, ,No,XXX,Yes,Fire,Yes, ,No,100‘x110‘ (11000 sq. Ft.),100‘,110‘ (11000 sq. Ft.),100,110,,11000,Zone 3,3,SZ 3,,,,Medium,"Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Morning (Sunrise-noon), Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Morning (Sunrise-noon), Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)", , ,1,1,1, ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,4,4,17,Theme Camp,,,,,,11.76%,17.65%,23.53%,23.53%,23.53%,,,,,2,,1,3,,,MZ ,NP ,LB ,MZ NP LB 
Softer Space,,,,40'x60' (2400 sq. ft.),40,60,Evening,RS MF UB ,Tea, , ,Food, , ,Kids,Bar, , ,UnEvEn,Trees,0,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,,2nd Choice,,1st Choice,,,3rd Choice,,UnEvEn,Yes,Trees,Yes, ,No,Kids,Kids,Yes, ,Not,Not needed,Bar,Yes, ,No, ,No, ,No,40'x60' (2400 sq. ft.),40',60' (2400 sq. ft.),40,60, (2400 sq. ft.),2400,Zone 2,2,SZ 2,Food,,yes,No,"Morning (Sunrise-noon), Evening (8pm-Midnight)","Morning (Sunrise-noon), Late Afternoon (4pm-8pm), Evening (8pm-Midnight)","Morning (Sunrise-noon), Late Afternoon (4pm-8pm), Evening (8pm-Midnight)",Evening (8pm-Midnight),1, , ,1, ,1, ,1,1, ,1, ,1,1, , , , ,1, ,3,0,2,4,0,9,Theme Camp,,,,Evening,,33.33%,0.00%,22.22%,44.44%,0.00%,Evening,Evening,,2,,1,,,3,,RS ,MF ,UB ,RS MF UB 
Fresh Hot Noods,,,,30'X40' (1200 sq. ft.),30,40,MorningAfternoon,FE RS NP , , , ,Food+, , , , , , ,UnEvEn,Trees,0,SZ 1,Zone 1 (Blue): No sound above conversational level midnight - 10am.,,We will make it work!,1st Choice,,3rd Choice,2nd Choice,,,,,UnEvEn,Yes,Trees,Yes, ,No, , ,No, ,,, ,No, ,No, ,No, ,No,30'X40' (1200 sq. ft.),30'X40' (1200 sq. ft.),,30,40,,1200,Zone 1,1,SZ 1,Food+,,,No,Late Afternoon (4pm-8pm),"Morning (Sunrise-noon), Afternoon (noon-4pm)","Morning (Sunrise-noon), Afternoon (noon-4pm)","Morning (Sunrise-noon), Afternoon (noon-4pm)", , ,1, , ,1,1, , , ,1,1, , , ,1,1, , , ,3,3,1,0,0,7,Theme Camp,Morning,Afternoon,,,,42.86%,42.86%,14.29%,0.00%,0.00%,MorningAfternoon,MorningAfternoon,1,,3,2,,,,,FE ,RS ,NP ,FE RS NP 
"CBGB (Camp Biscuits, Gravy & Bacon)",,,,40'x60' (2400 sq. ft.),40,60,Morning,MZ , , , ,Food+, , ,Kids, , , , ,Trees,0,SZ 3,Zone 3 (Red): Sub-bass must be turned off or significantly reduced at 3am; no sound above conversational level 6am - 10am.,,We will make it work!,,,,,1st Choice,,,, ,No,Trees,Yes, ,No,Kids,Kids,Yes, ,Not,Not needed, ,No, ,No, ,No, ,No,40'x60' (2400 sq. ft.),40',60' (2400 sq. ft.),40,60, (2400 sq. ft.),2400,Zone 3,3,SZ 3,Food+,,,No,None,Morning (Sunrise-noon),Morning (Sunrise-noon),Morning (Sunrise-noon), , , , , ,1, , , , ,1, , , , ,1, , , , ,3,0,0,0,0,3,Theme Camp,Morning,,,,,100.00%,0.00%,0.00%,0.00%,0.00%,Morning,Morning,,,,,1,,,,MZ ,,,MZ 
Stoop,,,,30'x30' (900 sq. ft.),30,30,MorningLate Afternoon,MF UB MZ , ,Coffee, ,Food+, , , ,Bar, , , , ,1,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,,1st Choice,,,3rd Choice,,2nd Choice,, ,No, ,No, ,No, , ,No, ,,,Bar,Yes, ,No, ,No, ,No,30'x30' (900 sq. ft.),30',30' (900 sq. ft.),30,30, (900 sq. ft.),900,Zone 2,2,SZ 2,Food+,Yes,,No,"Morning (Sunrise-noon), Late Afternoon (4pm-8pm)","Morning (Sunrise-noon), Late Afternoon (4pm-8pm)","Morning (Sunrise-noon), Late Afternoon (4pm-8pm), Evening (8pm-Midnight)","Morning (Sunrise-noon), Late Afternoon (4pm-8pm)",1, ,1, , ,1, ,1, , ,1, ,1,1, ,1, ,1, , ,4,0,4,1,0,9,Theme Camp,Morning,,Late Afternoon,,,44.44%,0.00%,44.44%,11.11%,0.00%,MorningLate Afternoon,MorningLate Afternoon,,1,,,3,,2,,MF ,UB ,MZ ,MF UB MZ 
The Gas Station,,,,40'x80' (3200 sq. ft.),40,80,Work Support Camp,MF MZ RS , , , ,, , , ,Bar,ADA, , ,Trees,0,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,,1st Choice,,3rd Choice,2nd Choice,,,, ,No,Trees,Yes,ADA,Yes, , ,No, ,,,Bar,Yes, ,, ,No, ,,40'x80' (3200 sq. ft.),40',80' (3200 sq. ft.),40,80, (3200 sq. ft.),3200,Zone 2,2,SZ 2,,,,No,,,,, , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,Work Support Camp,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,Work Support Camp,,1,,3,2,,,,MF ,MZ ,RS ,MF MZ RS 
Divisional Spaces,,,,30'x30' (900 sq. ft.),30,30,Art Support Camp,FE MF NP , , , ,, , , , , , ,UnEvEn,Trees,0,SZ 1,Zone 1 (Blue): No sound above conversational level midnight - 10am.,,We will make it work!,1st Choice,2nd Choice,3rd Choice,,,,,,UnEvEn,Yes,Trees,Yes, ,No, , ,No, ,,, ,No, ,, ,No, ,,30'x30' (900 sq. ft.),30',30' (900 sq. ft.),30,30, (900 sq. ft.),900,Zone 1,1,SZ 1,,,,No,,,,, , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,Art Support Camp,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,Art Support Camp,1,2,3,,,,,,FE ,MF ,NP ,FE MF NP 
Wiener Camp,,,,requesting 100'x50' in a lower location as we have a support bus that may not make the hill ,100,50,Late Afternoon,MF MZ LB , , , ,Food+, , , ,Bar, , , , ,2,SZ 3,Zone 3 (Red): Sub-bass must be turned off or significantly reduced at 3am; no sound above conversational level 6am - 10am.,,We will make it work!,,1st Choice,,,2nd Choice,3rd Choice,,, ,No, ,No, ,No, , ,No, ,,,Bar,Yes, ,No, ,No, ,No,requesting 100'x50' in a lower location as we have a support bus that may not make the hill ,requesting 100',50' in a lower location as we have a support bus that may not make the hill ,100,50,,5000,Zone 3,3,SZ 3,Food+,,,No,Late Afternoon (4pm-8pm),Late Afternoon (4pm-8pm),"Afternoon (noon-4pm), Late Afternoon (4pm-8pm)",Late Afternoon (4pm-8pm), , ,1, , , , ,1, , , ,1,1, , , , ,1, , ,0,1,4,0,0,5,Theme Camp,,,Late Afternoon,,,0.00%,20.00%,80.00%,0.00%,0.00%,Late Afternoon,Late Afternoon,,1,,,2,3,,,MF ,MZ ,LB ,MF MZ LB 
CAMP,,,,20'x40',20,40,Afternoon,FE MF NP , , , ,, , , , , , ,UnEvEn,Trees,0,SZ 1,Zone 1 (Blue): No sound above conversational level midnight - 10am.,,We will make it work!,1st Choice,2nd Choice,3rd Choice,,,,,,UnEvEn,Yes,Trees,Yes, ,No, , ,No, ,,, ,No, ,No, ,No, ,No,20'x40',20',40',20,40,,800,Zone 1,1,SZ 1,,,,No,Afternoon (noon-4pm),Afternoon (noon-4pm),Afternoon (noon-4pm),Afternoon (noon-4pm), ,1, , , , ,1, , , , ,1, , , , ,1, , , ,0,4,0,0,0,4,Theme Camp,,Afternoon,,,,0.00%,100.00%,0.00%,0.00%,0.00%,Afternoon,Afternoon,1,2,3,,,,,,FE ,MF ,NP ,FE MF NP 
Universal Eggsperience,,,,50'x100',50,100,,UB LB MZ ,Tea, , ,,Fire, , , , ,XXX,UnEvEn,Trees,0,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,,,,,3rd Choice,2nd Choice,1st Choice,,UnEvEn,Yes,Trees,Yes, ,No, , ,No, ,,, ,No,XXX,Yes,Fire,Yes, ,No,50'x100',50',100',50,100,,5000,Zone 2,2,SZ 2,,,yes,No,"Late Afternoon (4pm-8pm), Evening (8pm-Midnight)","Morning (Sunrise-noon), Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight)", , ,1,1, ,1,1,1,1,1, ,1,1,1,1, ,1,1,1, ,1,3,4,4,2,14,Theme Camp,,,,,,7.14%,21.43%,28.57%,28.57%,14.29%,,,,,,,3,2,1,,UB ,LB ,MZ ,UB LB MZ 
Frizz,,,,40'x40' (1600 sq. ft.),40,40,MorningEvening,MZ MF UB ,Tea,Coffee,Small,Food,Fire, ,Kids+,Bar, , , ,Trees,3,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,,2nd Choice,,,1st Choice,,3rd Choice,, ,No,Trees,Yes, ,No,Kids+,Kids,Yes,Kids+,Yes,"Yes, that would be lovely!",Bar,Yes, ,No,Fire,Yes, ,No,40'x40' (1600 sq. ft.),40',40' (1600 sq. ft.),40,40, (1600 sq. ft.),1600,Zone 2,2,SZ 2,Food,Yes,Yes,Small,Evening (8pm-Midnight),Evening (8pm-Midnight),Morning (Sunrise-noon),Morning (Sunrise-noon), , , ,1, , , , ,1, ,1, , , , ,1, , , , ,2,0,0,2,0,4,Theme Camp,Morning,,,Evening,,50.00%,0.00%,0.00%,50.00%,0.00%,MorningEvening,MorningEvening,,2,,,1,,3,,MZ ,MF ,UB ,MZ MF UB 
Oracle ,,,,30'x30' (900 sq. ft.),30,30,,MF NP RS , , , ,,Fire, , , , , ,UnEvEn,Trees,0,SZ 2,Zone 2 (Green): No sound above conversational level 3am - 10am.,,We will make it work!,,1st Choice,2nd Choice,3rd Choice,,,,3rd Choice,UnEvEn,Yes,Trees,Yes, ,No, , ,No, ,,, ,No, ,No,Fire,Yes, ,No,30'x30' (900 sq. ft.),30',30' (900 sq. ft.),30,30, (900 sq. ft.),900,Zone 2,2,SZ 2,,,,No,Evening (8pm-Midnight),"Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm)", , , ,1, , ,1,1,1, , ,1,1,1,1, ,1,1, , ,0,3,3,3,1,10,Theme Camp,,,,,,0.00%,30.00%,30.00%,30.00%,10.00%,,,,1,2,3,,,,3,MF ,NP ,RS ,MF NP RS 
Elation Station,,,,20x20 (400 sq ft),20,20,Evening,MZ UB MF , , ,Medium,, , , , , , ,UnEvEn,Trees,0,SZ 3,Zone 3 (Red): Sub-bass must be turned off or significantly reduced at 3am; no sound above conversational level 6am - 10am.,,We will make it work!,,3rd Choice,,,1st Choice,,2nd Choice,,UnEvEn,Yes,Trees,Yes, ,No, , ,No, ,,, ,No, ,No, ,No, ,No,20x20 (400 sq ft),20,20 (400 sq ft),20,20,,400,Zone 3,3,SZ 3,,,,Medium,Evening (8pm-Midnight),"Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight), Late Night (Midnight-Sunrise)","Afternoon (noon-4pm), Late Afternoon (4pm-8pm), Evening (8pm-Midnight)", , , ,1, , ,1,1,1, , ,1,1,1,1, ,1,1,1, ,0,3,3,4,1,11,Theme Camp,,,,Evening,,0.00%,27.27%,27.27%,36.36%,9.09%,Evening,Evening,,3,,,1,,2,,MZ ,UB ,MF ,MZ UB MF 
